bac_family	n	bac_order	bac_phylum
Acidobacteriaceae	120	Acidobacteriales	Acidobacteriota
Acetobacteraceae	118	Acetobacterales	Proteobacteria
Sphingomonadaceae	62	Sphingomonadales	Proteobacteria
Beijerinckiaceae	43	Rhizobiales	Proteobacteria
UBA10450	23	Chthoniobacterales	Verrucomicrobiota
Caulobacteraceae	22	Caulobacterales	Proteobacteria
Nostocaceae	20	Cyanobacteriales	Cyanobacteria
Ktedonobacteraceae	18	Ktedonobacterales	Chloroflexota
Burkholderiaceae	17	Burkholderiales	Proteobacteria
Bryobacteraceae	16	Bryobacterales	Acidobacteriota
Capsulimonadaceae	15	Armatimonadales	Armatimonadota
Pyrinomonadaceae	15	Pyrinomonadales	Acidobacteriota
Chitinophagaceae	14	Chitinophagales	Bacteroidota
Jatrophihabitantaceae	12	Mycobacteriales	Actinobacteriota
Sphingobacteriaceae	12	Sphingobacteriales	Bacteroidota
Microbacteriaceae	10	Actinomycetales	Actinobacteriota
Spirosomaceae	10	Cytophagales	Bacteroidota
Hymenobacteraceae	9	Cytophagales	Bacteroidota
Solirubrobacteraceae	7	Solirubrobacterales	Actinobacteriota
Propionibacteriaceae	6	Propionibacteriales	Actinobacteriota
Aestuariivirgaceae	5	Rhizobiales	Proteobacteria
Pseudonocardiaceae	5	Mycobacteriales	Actinobacteriota
Unknown	5	Hat2	Chlamydiota
Unknown	5	Actinomycetales	Actinobacteriota
Unknown	5	Chthoniobacterales	Verrucomicrobiota
Baltobacteraceae	4	Baltobacterales	Eremiobacterota
Nakamurellaceae	4	Mycobacteriales	Actinobacteriota
Streptosporangiaceae	4	Streptosporangiales	Actinobacteriota
Xanthobacteraceae	4	Rhizobiales	Proteobacteria
Armatimonadaceae	3	Armatimonadales	Armatimonadota
Chroococcidiopsidaceae	3	Cyanobacteriales	Cyanobacteria
Kineosporiaceae	3	Actinomycetales	Actinobacteriota
Polyangiaceae	3	Polyangiales	Myxococcota
Rhizobiaceae	3	Rhizobiales	Proteobacteria
SCTD01	3	Mycobacteriales	Actinobacteriota
70-9	2	Solirubrobacterales	Actinobacteriota
Abditibacteriaceae	2	Abditibacteriales	Armatimonadota
Angustibacteraceae	2	Actinomycetales	Actinobacteriota
Bdellovibrionaceae	2	Bdellovibrionales	Bdellovibrionota
CAJCIY01	2	Mycobacteriales	Actinobacteriota
Chamaesiphonaceae	2	Cyanobacteriales	Cyanobacteria
Chthoniobacteraceae	2	Chthoniobacterales	Verrucomicrobiota
Deinococcaceae	2	Deinococcales	Deinococcota
Fimbriimonadaceae	2	Fimbriimonadales	Armatimonadota
JAAFIG01	2	Deinococcales	Deinococcota
Leptolyngbyaceae	2	Leptolyngbyales	Cyanobacteria
Nevskiaceae	2	Nevskiales	Proteobacteria
Rubrobacteraceae	2	Rubrobacterales	Actinobacteriota
Trueperaceae	2	Deinococcales	Deinococcota
UBA5704	2	UBA5704	Acidobacteriota
UBA6265	2	Thermomicrobiales	Chloroflexota
Akkermansiaceae	1	Verrucomicrobiales	Verrucomicrobiota
Blattabacteriaceae	1	Flavobacteriales	Bacteroidota
Chthonomonadaceae	1	Chthonomonadales	Armatimonadota
Cyclobacteriaceae	1	Cytophagales	Bacteroidota
Devosiaceae	1	Rhizobiales	Proteobacteria
Gemmataceae	1	Gemmatales	Planctomycetota
Hyphomicrobiaceae	1	Rhizobiales	Proteobacteria
Micromonosporaceae	1	Mycobacteriales	Actinobacteriota
Motilibacteraceae	1	RP-AC37	Actinobacteriota
MT37	1	Mycoplasmatales	Firmicutes
Mycobacteriaceae	1	Mycobacteriales	Actinobacteriota
Nocardioidaceae	1	Propionibacteriales	Actinobacteriota
Oligoflexaceae	1	Oligoflexales	Bdellovibrionota
Quadrisphaeraceae	1	Actinomycetales	Actinobacteriota
Rhodanobacteraceae	1	Xanthomonadales	Proteobacteria
Rhodobacteraceae	1	Rhodobacterales	Proteobacteria
Rhodomicrobiaceae	1	Rhizobiales	Proteobacteria
SCTI01	1	UBA4664	Patescibacteria
Steroidobacteraceae	1	Steroidobacterales	Proteobacteria
UBA11358	1	Pedosphaerales	Verrucomicrobiota
UBA1161	1	UBA1161	Planctomycetota
UBA2163	1	UBA9983_A	Patescibacteria
UBA2796	1	SBR1031	Chloroflexota
UBA4665	1	Saccharimonadales	Patescibacteria
