bac_family	occ_total	bac_order	bac_phylum
Acetobacteraceae	405	Acetobacterales	Proteobacteria
Acidobacteriaceae	240	Acidobacteriales	Acidobacteriota
Beijerinckiaceae	238	Rhizobiales	Proteobacteria
Sphingomonadaceae	103	Sphingomonadales	Proteobacteria
UBA10450	68	Chthoniobacterales	Verrucomicrobiota
Nostocaceae	55	Cyanobacteriales	Cyanobacteria
Caulobacteraceae	50	Caulobacterales	Proteobacteria
Ktedonobacteraceae	46	Ktedonobacterales	Chloroflexota
Bryobacteraceae	36	Bryobacterales	Acidobacteriota
Burkholderiaceae	26	Burkholderiales	Proteobacteria
Capsulimonadaceae	24	Armatimonadales	Armatimonadota
Streptosporangiaceae	21	Streptosporangiales	Actinobacteriota
Jatrophihabitantaceae	20	Mycobacteriales	Actinobacteriota
Propionibacteriaceae	17	Propionibacteriales	Actinobacteriota
Pyrinomonadaceae	17	Pyrinomonadales	Acidobacteriota
Sphingobacteriaceae	16	Sphingobacteriales	Bacteroidota
Chitinophagaceae	15	Chitinophagales	Bacteroidota
Microbacteriaceae	14	Actinomycetales	Actinobacteriota
Spirosomaceae	13	Cytophagales	Bacteroidota
Hymenobacteraceae	11	Cytophagales	Bacteroidota
Solirubrobacteraceae	11	Solirubrobacterales	Actinobacteriota
Baltobacteraceae	9	Baltobacterales	Eremiobacterota
Pseudonocardiaceae	8	Mycobacteriales	Actinobacteriota
Xanthobacteraceae	7	Rhizobiales	Proteobacteria
Kineosporiaceae	6	Actinomycetales	Actinobacteriota
Nakamurellaceae	6	Mycobacteriales	Actinobacteriota
Rubrobacteraceae	6	Rubrobacterales	Actinobacteriota
UBA6265	6	Thermomicrobiales	Chloroflexota
Aestuariivirgaceae	5	Rhizobiales	Proteobacteria
Chroococcidiopsidaceae	5	Cyanobacteriales	Cyanobacteria
Rhizobiaceae	5	Rhizobiales	Proteobacteria
Trueperaceae	5	Deinococcales	Deinococcota
Unknown	5	Hat2	Chlamydiota
Unknown	5	Actinomycetales	Actinobacteriota
Unknown	5	Chthoniobacterales	Verrucomicrobiota
Armatimonadaceae	4	Armatimonadales	Armatimonadota
SCTD01	4	Mycobacteriales	Actinobacteriota
70-9	3	Solirubrobacterales	Actinobacteriota
Abditibacteriaceae	3	Abditibacteriales	Armatimonadota
Micromonosporaceae	3	Mycobacteriales	Actinobacteriota
Polyangiaceae	3	Polyangiales	Myxococcota
Angustibacteraceae	2	Actinomycetales	Actinobacteriota
Bdellovibrionaceae	2	Bdellovibrionales	Bdellovibrionota
Blattabacteriaceae	2	Flavobacteriales	Bacteroidota
CAJCIY01	2	Mycobacteriales	Actinobacteriota
Chamaesiphonaceae	2	Cyanobacteriales	Cyanobacteria
Chthoniobacteraceae	2	Chthoniobacterales	Verrucomicrobiota
Deinococcaceae	2	Deinococcales	Deinococcota
Fimbriimonadaceae	2	Fimbriimonadales	Armatimonadota
JAAFIG01	2	Deinococcales	Deinococcota
Leptolyngbyaceae	2	Leptolyngbyales	Cyanobacteria
Nevskiaceae	2	Nevskiales	Proteobacteria
Quadrisphaeraceae	2	Actinomycetales	Actinobacteriota
Rhodanobacteraceae	2	Xanthomonadales	Proteobacteria
UBA1161	2	UBA1161	Planctomycetota
UBA5704	2	UBA5704	Acidobacteriota
Akkermansiaceae	1	Verrucomicrobiales	Verrucomicrobiota
Chthonomonadaceae	1	Chthonomonadales	Armatimonadota
Cyclobacteriaceae	1	Cytophagales	Bacteroidota
Devosiaceae	1	Rhizobiales	Proteobacteria
Gemmataceae	1	Gemmatales	Planctomycetota
Hyphomicrobiaceae	1	Rhizobiales	Proteobacteria
Motilibacteraceae	1	RP-AC37	Actinobacteriota
MT37	1	Mycoplasmatales	Firmicutes
Mycobacteriaceae	1	Mycobacteriales	Actinobacteriota
Nocardioidaceae	1	Propionibacteriales	Actinobacteriota
Oligoflexaceae	1	Oligoflexales	Bdellovibrionota
Rhodobacteraceae	1	Rhodobacterales	Proteobacteria
Rhodomicrobiaceae	1	Rhizobiales	Proteobacteria
SCTI01	1	UBA4664	Patescibacteria
Steroidobacteraceae	1	Steroidobacterales	Proteobacteria
UBA11358	1	Pedosphaerales	Verrucomicrobiota
UBA2163	1	UBA9983_A	Patescibacteria
UBA2796	1	SBR1031	Chloroflexota
UBA4665	1	Saccharimonadales	Patescibacteria
