metagenome	public_SRR7232211_concoct_bin.8	private_T1904_concoct_bin.38	cov_ratio
SRR7232211	9.910764302	NA	NA
VT1	2.600714332	2.711315944	0.9592074054502
VT12	2.817799533	3.122244585	0.902491607011627
VT31	8.096873832	8.57666321	0.944058736334594
X12	12.12351892	13.15237865	0.921773866356866
X14	8.399238624	8.465674815	0.992152286444752
X3	6.856672164	7.052862422	0.972182888838435
X8	9.741170283	10.18030333	0.956864443743446
X9	8.31493485	8.894351034	0.934855709901139
SRR13125762	NA	5.68933051	NA
T1889	NA	5.411446788	NA
T1904	NA	44.44050705	NA
T1914	NA	20.01470432	NA
VT15	NA	4.066254727	NA
VT19	NA	5.73213519	NA
VT2	NA	4.814488455	NA
VT38	NA	9.50165868	NA
